Church,Cath. Dir.,street address,City,state/zipcode,Diocese,URL,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,1,2,3,4,7,10,11,13,14,15,17,18,19
St. Joseph Natrona Parish  St. Ladislaus Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54294,48 Spruce Street,Natrona,PA 15065 US,Diocese of Pittsburgh,http://stjosephnatrona.webs.com,,,,,,,,,,,,,,,,,,,,,
St. George Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55410,Lamont Ave E of Chester Pk,Glenolden,PA 19036 US,Archeparchy of Philadelphia,None,,,,,,,,,,,,,,,,,,,,,
St. Mary,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=213663,82 North Center Street,Ringtown,PA 17967 US,Diocese of Allentown,None,,,,,,,,,,,,,,,,,,,,,
St. Monica Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54963,109 Market Street,Sunbury,PA 17801 US,Diocese of Harrisburg,None,,,,,,,,,,,,,,,,,,,,,
Our Lady of Mount Carmel Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55042,3rd Ave & Garibaldi Sts,Roseto,PA 18013 US,Diocese of Allentown,None,,,,,,,,,,,,,,,,,,,,,
St. Isaac Jogues Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55457,50 West Walker Rd at Valley Forge Rd,Wayne,PA 19087 US,Archeparchy of Philadelphia,http://www.stisaac.org,,,,,,,,,,,,,,,,,,,,,
St. Katherine of Siena,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55459,104 S. Aberdeen Ave,Wayne,PA 19087 US,Archdiocese of Philadelphia,http://www.stkatharineofsiena.org,,,,,,,,,,,,,,,,,,,,,
St. Mary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55202,242 Carbondale Rd,Waymart,PA 18472 US,Diocese of Scranton,None,,,,,,,,,,,,,,,,,,,,,
St. Thomas The Apostle Parish Chester Heights,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55608,430 Valleybrook Rd,Glen Mills,PA 19342 US,Archeparchy of Philadelphia,http://staparishgm.org/,,,,,,,,,,,,,,,,,,,,,
St. Martin of Tours Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55354,1 Riverstone Circle,New Hope,PA 18938 US,Archdiocese of Philadelphia,http://www.stmartinoftours.org,,,,,,,,,,,,,,,,,,,,,
St. Stephen Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55019,218 Valley St,Port Carbon,PA 17965 US,Diocese of Allentown,None,,,,,,,,,,,,,,,,,,,,,
St. Vincent DePaul Society,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=214496,218 Valley Street,Port Carbon,PA 17965 US,None,None,,,,,,,,,,,,,,,,,,,,,
St. Catherine of Siena,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=74640,955 Robert Fulton Highway,Quarryville,PA 17566-9543 US,Diocese of Harrisburg,http://www.stcatherineqville.com/,,,,,,,,,,,,,,,,,,,,,
Our Lady Queen of Peace Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54529,400 Kennedy Ave,East Vandergrift,PA 15629 US,Diocese of Greensburg,None,,,,,,,,,,,,,,,,,,,,,
