Church,Cath. Dir.,street address,City,state/zipcode,Diocese,URL,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,PDF,Bulletin
Madonna of Jerusalem Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54402,220 Ninth St,Sharpsburg,PA 15215 US,Diocese of Pittsburgh,http://saintjuandiegopgh.org/,,,,,,,,,N,2
St. John Cantius,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189766,201 Ninth Street,Sharpsburg,PA 15215 US,Diocese of Pittsburgh,http://saintjuandiegopgh.org/,,,,,,,,,N,2
St. Mary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54739,201 Ninth Street,Sharpsburg,PA 15215 US,Archeparchy of Pittsburgh,http://saintjuandiegopgh.org/,,,,,,,,,N,2
Holy Spirit Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54381,608 Farragut Street,Millvale,PA 15209 US,Diocese of Pittsburgh,http://www.holyspiritmillvale.org/,,,,,,,,,N,1
St. Aloysius Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54487,459 Ranch Road,Dunbar,PA 15431 US,Diocese of Greensburg,https://www.parishesonline.com/find/st-aloysius-parish,,,,,,,,,N,N
St. John The Evangelist Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55347,15 E. Church St.,Susquehanna,PA 18847 US,Diocese of Scranton,http://www.saintslawrencemartinjohn.com,,,,,,,,,Y,N
St. Venantius Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54759,403 Main St,Rouseville,PA 16344 US,Diocese of Erie,https://www.eriercd.org/Church30914-St-Venantius.html,,,,,,,,,N,N
St. Stephen Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54494,3120 West Crawford Avenue,Leisenring,PA 15455 US,Diocese of Pittsburgh,http://www.archpitt.org/place/leisenringpa-2/,,,,,,,,,N,N
St. Vincent De Paul Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54493,125 St. Vincent de Paul Rd,Leisenring,PA 15455 US,Diocese of Greensburg,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54493,,,,,,,,,N,N
Immaculate Conception Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54823,Washington St Extension,Dudley,PA 16634 US,Diocese of Altoona - Johnstown,http://www.iccdudley.com,,,,,,,,,N,1
