Church,Cath. Dir.,street address,City,state/zipcode,Diocese,URL,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,PDF,Bulletin
St. Joseph Natrona Parish  St. Ladislaus Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54294,48 Spruce Street,Natrona,PA 15065 US,Diocese of Pittsburgh,http://stjosephnatrona.webs.com,,,,,,,,,Y,1
St. George Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55410,Lamont Ave E of Chester Pk,Glenolden,PA 19036 US,Archeparchy of Philadelphia,https://www.stgeorgeparish.org/,,,,,,,,,N,1
St. Mary,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=213663,82 North Center Street,Ringtown,PA 17967 US,Diocese of Allentown,http://stmarystjoseph.net/locations__mass_time,,,,,,,,,N,9
St. Monica Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54963,109 Market Street,Sunbury,PA 17801 US,Diocese of Harrisburg,http://stmonicasunbury.wixsite.com/stmonicasunbury,,,,,,,,,N,N
Our Lady of Mount Carmel Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55042,3rd Ave & Garibaldi Sts,Roseto,PA 18013 US,Diocese of Allentown,https://www.parishesonline.com/find/our-lady-of-mount-carmel-church-18013,,,,,,,,,N,N
St. Isaac Jogues Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55457,50 West Walker Rd at Valley Forge Rd,Wayne,PA 19087 US,Archeparchy of Philadelphia,http://www.stisaac.org,,,,,,,,,N,1
St. Katherine of Siena,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55459,104 S. Aberdeen Ave,Wayne,PA 19087 US,Archdiocese of Philadelphia,http://www.stkatharineofsiena.org,,,,,,,,,N,N
St. Mary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55202,242 Carbondale Rd,Waymart,PA 18472 US,Diocese of Scranton,http://stmaryswaymart.com/,,,,,,,,,N,2
St. Thomas The Apostle Parish Chester Heights,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55608,430 Valleybrook Rd,Glen Mills,PA 19342 US,Archeparchy of Philadelphia,http://staparishgm.org/,,,,,,,,,N,N
St. Martin of Tours Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55354,1 Riverstone Circle,New Hope,PA 18938 US,Archdiocese of Philadelphia,http://www.stmartinoftours.org,,,,,,,,,N,N
St. Stephen Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55019,218 Valley St,Port Carbon,PA 17965 US,Diocese of Allentown,http://saintstephen2.com/,,,,,,,,,N,1
St. Vincent DePaul Society,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=214496,218 Valley Street,Port Carbon,PA 17965 US,None,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=214496,,,,,,,,,N,N
St. Catherine of Siena,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=74640,955 Robert Fulton Highway,Quarryville,PA 17566-9543 US,Diocese of Harrisburg,http://www.stcatherineqville.com/,,,,,,,,,N,5
Our Lady Queen of Peace Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54529,400 Kennedy Ave,East Vandergrift,PA 15629 US,Diocese of Greensburg,https://evcatholic.org/,,,,,,,,,N,1
Corpus Christi Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54348,2515 Versailles Ave,McKeesport,PA 15132 US,Diocese of Pittsburgh,https://www.corpuschristimckeesport.com/,,,,,,,,,N,N
St. Eugene - St. Mark,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189689,3210 Liberty Way,McKeesport,PA 15133 US,None,http://www.saintmarkdiopitt.org/,,,,,,,,,N,N
St. John the Baptist Ukrainian Byzantine Catholic Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54343,1907 Eden Park Blvd,McKeesport,PA 15132 US,Eparchy of St. Josaphat of Parma,http://www.stjohnsmckeesport.com,,,,,,,,,N,N
St. Mark Parish Consolidated,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54351,1101 Romine Ave,McKeesport,PA 15133 US,Diocese of Pittsburgh,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54351,,,,,,,,,N,N
St. Martin De Porres Parish Consolidated,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54346,704 Market St,McKeesport,PA 15132 US,Diocese of Pittsburgh,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54346,,,,,,,,,N,N
St. Mary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54345,318 26th St,McKeesport,PA 15132 US,None,https://diopitt.org/saint-mary-german-mckeesport,,,,,,,,,N,N
St. Nicholas Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54350,410 Sixth Ave,McKeesport,PA 15132 US,Diocese of Pittsburgh,http://www.archeparchy.org/page/directories/parishes/mckeesport.htm,,,,,,,,,N,N
St. Patrick Parish St Perpetua,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54344,312 32nd St,McKeesport,PA 15132 US,Diocese of Pittsburgh,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54344,,,,,,,,,N,N
St. Pius V Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54347,2911 Versailles Ave,McKeesport,PA 15132 US,Diocese of Pittsburgh,https://diopitt.org/saint-pius-v-mckeesport,,,,,,,,,N,N
Transfiguration of Our Lord Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54349,121 Sixth Ave,McKeesport,PA 15132 US,Diocese of Pittsburgh,http://www.archeparchy.org/page/directories/parishes/mckeesporttol.htm,,,,,,,,,N,N
Annunciation Blessed Virgin Mary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55453,401 Brookline Blvd,Havertown,PA 19083 US,Archdiocese of Philadelphia,http://annunciationparish.com,,,,,,,,,N,N
Sacred Heart Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55454,105 Wilson Ave.,Havertown,PA 19083 US,Archdiocese of Philadelphia,http://www.sacredheartmanoa.org/,,,,,,,,,N,1
St. Denis Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55455,Eagle Rd and St Denis La,Havertown,PA 19083 US,Archdiocese of Philadelphia,http://www.stdenishavertown.org,,,,,,,,,N,N
St. Patrick Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54301,7322 Nobelstown Rd,Oakdale,PA 15071 US,Diocese of Pittsburgh,http://www.saint-patrick-parish.com/,,,,,,,,,N,N
St. Anthony Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54714,W Poland Ave,Bessemer,PA 16112 US,Diocese of Pittsburgh,https://diopitt.org/saint-anthony-bessemer,,,,,,,,,N,N
St. Severin Mission Drifting,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189660,Kylertown-Drifting Highway," Northern Moshanan Cluster,  Drifting",PA 16834 US,St. Mary of The Assumption Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189660,,,,,,,,,N,N
St. Francis of Assisi Parish Masontown Site,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=214619,101 West Church Avenue,Masontown,PA 15461 US,Diocese of Greensburg,http://www.sfoafayette.org/,,,,,,,,,N,1
St. John The Baptist Byzantine Catholic Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55137,116 East Bertsch Street,Lansford,PA 18232 US,Byzantine Catholic Eparchy of Passaic,http://www.stjohnsbyzantinecatholicchurch.org/,,,,,,,,,N,N
St. Katharine Drexel Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55135,124 E Abbott St,Lansford,PA 18232 US,Diocese of Allentown,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55135,,,,,,,,,N,N
St. Francis De Sales Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55671,321 N Church St,Robesonia,PA 19551 US,Diocese of Allentown,http://www.stfrancisroby.org/,,,,,,,,,N,N
St. Andrew Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54913,12 North Broad Street,Waynesboro,PA 17268 US,Diocese of Harrisburg,http://www.standrewwbo.org,,,,,,,,,N,N
Lafayette College,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189691,119 McCartney Street,Easton,PA 18042-7647 US,None,http://sites.lafayette.edu/newman/,,,,,,,,,N,N
Our Lady of Lebanon,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55071,55 S 4th St,Easton,PA 18042 US,Eparchy of Saint Maron,http://www.ololeaston.org,,,,,,,,,N,N
Our Lady of Mercy Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=75563,132 South Fifth Street,Easton,PA 18042 US,Diocese of Allentown,http://www.olomercy.com/,,,,,,,,,N,N
St. Anthony of Padua Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=10623,9th & Lehigh Streets,Easton,PA 18042-4342 US,Diocese of Allentown,http://www.stanthonyeaston.com/,,,,,,,,,N,N
St. Jane Frances de Chantal Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=5932,4049 Hartley Avenue,Easton,PA 18045 US,Diocese of Allentown,http://www.stjanesofeastonpa.com,,,,,,,,,N,N
Our Lady of Mercy Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54964,304 Slabtown Rd,Catawissa,PA 17820 US,Diocese of Harrisburg,https://www.hbgdiocese.org/parishes/our-lady-of-mercy-catawissa/,,,,,,,,,N,N
Most Holy Trinity Catholic Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54672,550 Main St.,South Fork,PA 15956 US,Diocese of Altoona - Johnstown,https://discovermass.com/church/most-holy-trinity-south-fork-pa/,,,,,,,,,N,N
St. Michael the Archangel Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54666,717 Memory Lane,South Fork,PA 15946 US,Diocese of Pittsburgh,http://www.sspeterandpaulbyzantine.net/,,,,,,,,,N,N
Blessed Virgin Mary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55398,1101 Main St,Darby,PA 19023 US,Archeparchy of Philadelphia,https://www.bvm-darby.com/,,,,,,,,,N,N
St. Bede The Venerable Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55361,1071 Holland Road,Holland,PA 18966 US,Archeparchy of Philadelphia,http://www.st-bede.org,,,,,,,,,N,2
St. Bartholomew Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54526,2538 Route 119,Crabtree,PA 15624 US,Diocese of Greensburg,http://www.stbartholomewcrabtree.org/,,,,,,,,,N,1
Holy Name of Mary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55338,278 S Main St,Montrose,PA 18801 US,Diocese of Scranton,http://www.holynameofmary.com/,,,,,,,,,N,N
Assumption of Blessed Virgin Mary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54972,N. Paxton St.,Centralia,PA 17927 US,Archeparchy of Philadelphia,http://ukrarcheparchy.us/en/assumption-of-bvm-centralia,,,,,,,,,N,N
St. Maria Goretti Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55300,42 Redwood Dr,Laflin,PA 18702 US,Diocese of Scranton,http://www.stmariagoretti-laflin.org,,,,,,,,,N,7
St. Joseph The Worker Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55084,1879 Applewood Dr,Orefield,PA 18069 US,Diocese of Allentown,http://www.stjw.org,,,,,,,,,N,N
St. Joseph the Worker School,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=70468,1858 Applewood Drive,Orefield,PA 18069 US,Diocese of Allentown,http://www.stjw.org/stjw01t/stjws.html,,,,,,,,,N,N
Allegheny College,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189701,520 North Main Street,Meadville,PA 16335 US,None,http://www.allegheny.edu/,,,,,,,,,N,N
Seton Catholic School,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=214581,385 Pine St,Meadville,PA 16335 US,Diocese of Erie,http://www.seton-school.com/,,,,,,,,,N,N
St. Agatha Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54758,353 Pine St,Meadville,PA 16335 US,Diocese of Erie,https://www.parishesonline.com/find/st-agatha-parish,,,,,,,,,N,N
St. Brigid Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54757,383 Arch Street,Meadville,PA 16335 US,Diocese of Erie,http://StBrigidChurch.org,,,,,,,,,N,N
St. Mary of Grace Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54756,1085 Water St,Meadville,PA 16335 US,Diocese of Erie,http://www.stmaryofgrace.net,,,,,,,,,N,N
SS Cyril & Methodius Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54680,604 Graham Ave,Windber,PA 15963 US,Diocese of Altoona - Johnstown,https://www.parishesonline.com/find/ss-cyril-and-methodius-church-15963,,,,,,,,,N,N
St. Anthony of Padua Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54679,2201 Graham Ave,Windber,PA 15963 US,Diocese of Altoona - Johnstown,http://www.stanthonyswindber.com/,,,,,,,,,N,N
St. Elizabeth Ann Seton Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54676,605 Graham Ave,Windber,PA 15963 US,Diocese of Altoona - Johnstown,https://www.parishesonline.com/find/st-elizabeth-ann-seton-church-15963,,,,,,,,,N,N
St. Mary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54682,803 Somerset Street,Windber,PA 15963 US,Archeparchy of Pittsburgh,http://www.archeparchy.org/page/directories/parishes/windber.htm,,,,,,,,,N,N
Immaculate Conception Church - Closed,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55429,5201 Emile Rd,Levittown,PA 19057 US,Archdiocese of Philadelphia,http://www.quparish.com,,,,,,,,,N,N
Our Lady of Perpetual Help Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55427,1787 Woodburne Road,Levittown,PA 19056 US,Byzantine Catholic Eparchy of Passaic,http://www.olphbyz.com/,,,,,,,,,N,N
St. Michael The Archangel Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55425,66 Levittown Pkwy,Levittown,PA 19054 US,Archeparchy of Philadelphia,https://stmichaellvt.com/,,,,,,,,,N,N
The New Queen of The Universe Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55428,2443 Trenton Rd,Levittown,PA 19056 US,Archdiocese of Philadelphia,http://www.quparish.com,,,,,,,,,N,N
Our Lady of Lourdes,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54960,100 Walnut St,Montoursville,PA 17754 US,Diocese of Scranton,http://www.ourladyoflourdesrcc.org,,,,,,,,,N,N
St. John The Evangelist Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55183,150 Terrace St,Honesdale,PA 18431 US,Diocese of Scranton,http://stjohnparish.faithweb.com/,,,,,,,,,N,N
St. Eulalia's Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55178,214 Blue Shutters Rd.,Roaring Brook Township,PA 18444 US,Diocese of Scranton,http://www.sainteulalias.com/,,,,,,,,,N,N
St. Thomas the Apostle Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=2140,111 First St.,Elkland,PA 16920-1103 US,Diocese of Scranton,https://discovermass.com/church/st-thomas-the-apostle-elkland-pa/,,,,,,,,,N,N
St. Barbara Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55280,28 Memorial Ave.,Exeter,PA 18643 US,Diocese of Scranton,https://stbarbaraexeter.com/bulletins,,,,,,,,,N,5
St. Elizabeth Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54850,307 Franklin Street,Smethport,PA 16749 US,Diocese of Erie,http://saintelizabethofhungarychurch.weebly.com/,,,,,,,,,N,N
St. Anne Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54261,1870 Rostraver Rd,Rostraver,PA 15012 US,Diocese of Greensburg,http://www.stannerostraver.org/,,,,,,,,,N,1
St. Raymond of the Mountains,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=75639,170 Schoolhouse Lane,Donegal,PA 15628 US,Diocese of Greensburg,http://www.straymondchurch.org/,,,,,,,,,N,1
Diocese of Altoona - Johnstown,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=13467,927 South Logan Blvd.,Hollidaysburg,PA 16648 US,None,http://www.ajdiocese.org/,,,,,,,,,N,N
St. Mary's Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54829,312 Clark St,Hollidaysburg,PA 16648 US,Diocese of Altoona - Johnstown,http://www.webparish.com/aj/saintmarys/index.php?PG=home,,,,,,,,,N,1
St. Michael Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54830,301 Spruce St,Hollidaysburg,PA 16648 US,Diocese of Altoona - Johnstown,http://www.stmichael-hldg-pa.org,,,,,,,,,N,1
Marys Rosary Makers,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=213830,317 S. Union St.,Kennett Square,PA 19348 US,None,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=213830,,,,,,,,,N,N
St. Patrick Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55610,212 S Meredith St,Kennett Square,PA 19348 US,Archeparchy of Philadelphia,http://stpatrickkennettsquare.org/,,,,,,,,,N,N
St. Michael Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54670,751 Locust Street,Saint Michael,PA 15951-0103 US,Diocese of Altoona - Johnstown,http://www.saintmichaelchurch.weebly.com,,,,,,,,,N,1
Our Lady of Consolation Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54468,837 Wood St Ext,Nemacolin,PA 15351 US,Diocese of Pittsburgh,http://www.ourladyofconsolation.net,,,,,,,,,N,N
Mater Dolorosa Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54693,Main Street,Chicora,PA 16025 US,Diocese of Pittsburgh,https://materdolorosa-stjoe.webs.com/,,,,,,,,,N,N
St. Joseph Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54692,Main Street,Chicora,PA 16025 US,Diocese of Pittsburgh,https://www.stjosephparishneedham.com/,,,,,,,,,N,N
St. Mary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54737,117 Lencer Dr.,Crown,PA 16220 US,Diocese of Erie,http://www.dcgary.org/parishes/stmary_cro.htm,,,,,,,,,Y,N
St. Mary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54524'," ""112 St. Mary's Way""",Bradenville,PA 15620 US,Diocese of Pittsburgh,http://www.archpitt.org/place/bradenvillepa/,,,,,,,,,N,N
St. Bernard Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54575,200 Clairvaux Dr,Indiana,PA 15701 US,Diocese of Greensburg,http://www.saintbernardparish.org/,,,,,,,,,N,1
St. Thomas More University Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189110,1200 Oakland Ave.,Indiana,PA 15701 US,Diocese of Greensburg,http://www.STMUP.org,,,,,,,,,N,N
St. Peter Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54507,433 W Church St,Somerset,PA 15501 US,Diocese of Altoona - Johnstown,http://www.stpetersparish.com,,,,,,,,,N,N
Mary Gate of Heaven Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54893,188 W McKinley Ave,Myerstown,PA 17067 US,Diocese of Harrisburg,https://www.hbgdiocese.org/parishes/mary-gate-of-heaven/,,,,,,,,,N,N
St. Matthew Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54876,607 Stoney creek dr,Dauphin,PA 17018 US,Diocese of Harrisburg,https://www.hbgdiocese.org/parishes/st-matthew-dauphin/,,,,,,,,,N,N
SS John and Paul,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189761,2586 Wexford Bayne Road,Sewickley,PA 15143-8610 US,Diocese of Pittsburgh,http://www.stsjohnandpaul.org,,,,,,,,,N,1
St. James,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=5901,200 Walnut Street,Sewickley,PA 15143 US,Diocese of Pittsburgh,http://www.saintjames-church.com,,,,,,,,,N,N
St. Mary,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189762,444 Glenfield Road,Sewickley,PA 15143 US,None,http://www.saintmaryaleppo.org/,,,,,,,,,N,N
SS Phillip & James Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54512,247 High St,Meyersdale,PA 15552 US,Diocese of Altoona - Johnstown,https://discovermass.com/church/saints-philip-and-james-meyersdale-pa/,,,,,,,,,N,N
St. Elizabeth of Hungary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55088,300 W Babbitt Ave,Pen Argyl,PA 18072 US,Diocese of Allentown,http://www.stelizabethpenargyl.parishesonline.com/scripts/HostedSites/Org.asp?ID=14958,,,,,,,,,N,N
St. Anthony Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54760,7222 U.S. Route 6,Sheffield,PA 16347 US,Diocese of Erie,https://hallam-diocese.com/parishes/st-anthonys-gleadless/,,,,,,,,,N,N
St. Michael Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54761,407 School Street,Sheffield,PA 16347 US,Archeparchy of Pittsburgh,http://www.stmichaelvt.com/,,,,,,,,,N,N
St. Frances Cabrini Catholic Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55406,325 South Oxford Valley Road,Fairless Hills,PA 19030 US,Archdiocese of Philadelphia,http://www.sfcaph.org/,,,,,,,,,N,N
Holy Trinity Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55655,366 South St,Pottstown,PA 19464 US,Archdiocese of Philadelphia,http://www.saintaloysius.net,,,,,,,,,N,N
St. Aloysius Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55656,223 Beech Street,Pottstown,PA 19464 US,Archdiocese of Philadelphia,http://www.saintaloysius.net,,,,,,,,,N,N
St. John The Baptist Byzantine Catholic Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55654,301 Cherry Street,Pottstown,PA 19464 US,Byzantine Catholic Eparchy of Passaic,http://www.stjohnbyz.org/,,,,,,,,,N,N
St. Thomas More Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55659,Rt 100 North of Rt 23 North,Pottstown,PA 19465 US,Archeparchy of Philadelphia,http://www.stmsouthcoventry.com/,,,,,,,,,N,N
St. Anthony Mission,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189774,112 Bridge Street,Tionesta,PA 16353 US,St. John Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189774,,,,,,,,,N,N
St. Peter Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54770,501 Washington St.,Conneautville,PA 16406 US,Diocese of Erie,https://stspeterphilip.com/,,,,,,,,,N,1
St. Helena Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55633,Yost Road and Route 202,Blue Bell,PA 19422 US,Archeparchy of Philadelphia,http://sainthelena-centersquare.net,,,,,,,,,N,N
SS Peter and Paul Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55318,Church Street,Lopez,PA 18628 US,None,https://www.ssppkiel.org/,,,,,,,,,Y,1
St. Ann Parish-Closed,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55201,Main St,Tobyhanna,PA 18466 US,Diocese of Scranton,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55201,,,,,,,,,N,N
St. Felix Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54279,450 13th St,Freedom,PA 15042 US,Diocese of Pittsburgh,http://www.stfelixfreedom.org/,,,,,,,,,N,N
St. Gabriel the Archangel Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=75195,203 Arnold Avenue,Port Allegany,PA 16743 US,Diocese of Erie,https://steulalia-stgabriel.org/st-gabriel-the-archangel,,,,,,,,,N,3
St. John The Baptist Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55291,126 Nesbitt St.,Larksville,PA 18651 US,Diocese of Scranton,http://stjohnslarksville.org/,,,,,,,,,N,N
Immaculate Conception Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54537,308 Second Street,Irwin,PA 15642 US,Diocese of Greensburg,http://www.immaculateconceptionir.org/,,,,,,,,,N,N
Immaculate Conception Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54736,715 E. Main St,Clarion,PA 16214 US,Diocese of Erie,http://www.icclarion.org,,,,,,,,,N,1
Millersville University Newman Center,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189705,227 N. George St.,Millersville,PA 17551 US,None,http://www.newmanhouse.com,,,,,,,,,N,N
St. Jude Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54890,Old Route 22,Mifflintown,PA 17059 US,Diocese of Harrisburg,http://www.stjudemifflintown.org,,,,,,,,,N,2
Sacred Heart,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189788,421 Main St.,Youngstown,PA 15696 US,Diocese of Greensburg,http://www.sacredheart-online.com,,,,,,,,,Y,N
